code,risk_type
700004,中高风险
700005,中低风险
700006,中低风险
710001,中高风险
710002,中高风险
710301,中高风险
710302,中高风险
720001,中高风险
720002,中风险
730001,中高风险
730002,中高风险
740001,中高风险
740101,高风险
750001,中高风险
750002,中低风险
750003,中低风险
750005,中高风险
762001,中高风险
770001,中高风险
