0,1
富国新趋势灵活配置混合C,蔡耀华
交银纯债债券发起C,于海颖
徐莹,兴业年年利定开债
尹诚庸,分级杠杆
贺涛,华安季季鑫短期理财债券A
平安惠金定开债C,张文平
王慧,华宝宝丰高等级债券C
银华消费分级混合,薄官辉
货币型,农银汇理日日鑫交易型货币C
鹏华先进制造股票,梁浩
DANIEL DONGNING SUN,平安股息精选沪港深A
富国新活力灵活配置混合C,肖威兵
鲁邦旺,博时合利货币
安信保证金交易型货币,货币型
混合型,洪利平
平安人工智能ETF,ETF-场内
江信洪福纯债,杨淳
上投摩根内需动力混合,混合型
广发生物科技指数(QDII),李耀柱
债券型,永赢泰利债券A
方正富邦惠利纯债A,徐超
国富焦点驱动混合,混合型
博时裕康纯债债券,陈凯杨
中泰蓝月短债C,债券型
万家鑫盛纯债A,债券型
易方达标普医疗保健人民币,刘树荣
南方荣知定期开放混合C,金凌志
东方红战略精选混合C,混合型
鹏华动力增长混合(LOF),王宗合
陈正宪,嘉实港股通新经济指数C
杨永光,博时新机遇混合C
盛泽,混合型
光大鼎鑫混合C,何奇
混合型,长信电子信息行业量化混合
刘欣,泰达宏利大数据混合C
长盛上证50指数分级A,固定收益
货币型,方孝成
富国新趋势灵活配置混合A,混合型
郝旭东,诺德成长精选C
陈纪靖,红塔红土稳健回报C
段鹏,长盛添利30天理财债券A
黎海威,景顺长城沪港深精选股票
泰达宏利港股通股票C,股票型
广发聚盛混合C,混合型
崔俊杰,鹏华医药分级A
债券型,李一鸣
中信保诚稳鸿A,缪夏美
混合型,新华家盈双利混合C
杨林耘,东方成长收益灵活配置混合
兴业聚惠灵活配置混合A,腊博
天弘普惠养老保本混合A,陈钢
新华活期添利货币E,货币型
康晶,招商安博灵活配置混合A
万家货币A,肖侃宁
瞿灿,银华永益分级债券B
华泰柏瑞锦利混合A,盛豪
债券型,平安3-5年政策性金融债C
方正富邦创新动力混合C,徐超
ETF-场内,华夏中证四川国改ETF
鹏华地产分级,闫冬
杨凡,混合型
定开债券,诺安纯债定开债A
天弘债券发起式B,柴文婷
鹏华尊悦发起式定开债券,刘涛
民生加银内需增长混合,柳世庆
苏谋东,万家鑫丰纯债A
格林伯元灵活配置A,宋东旭
张弘弢,债券型
债券型,红土创新增强收益债券A
财通收益增强债券A,焦庆
定开债券,泰达宏利鑫利债券C
万家180指数,卞勇
宫志芳,财通资管鸿达纯债A
高文庆,华宝宝怡债券
中金金序量化蓝筹C,魏孛
ETF-场内,国寿安保沪深300ETF
金鹰科技创新股票,乔春
货币型,蒋利娟
鹏华弘腾混合C,周恩源
腊博,兴业短债债券C
刘欣,泰达宏利创盈混合A
定开债券,诺安泰鑫一年定开债C
嘉实稳华纯债债券,王亚洲
王凯,股票型
马龙,招商招利1个月期理财债券C
刘格菘,广发集嘉债券C
毛从容,景顺长城泰和回报混合A
秦娟,货币型
