code,fund_type,X,Y,symbol,issuer,manager_0,manager_1,manager_2,manager_3,manager_4
165313,Hybrid,-15.386919,2.8812199,建信优势,建信基金管理有限责任公司,姜锋,,,,
165508,Hybrid,3.3677542,-18.785606,信诚深度,中信保诚基金管理有限公司,夏明月,,,,
165509,Bond,-4.032617,42.741737,信诚强债,中信保诚基金管理有限公司,宋海娟,,,,
165511,Stock,-5.8239417,23.726873,信诚500,中信保诚基金管理有限公司,黄稚,,,,
165512,Hybrid,-32.82809,-6.634954,信诚机遇,中信保诚基金管理有限公司,吴昊,,,,
165515,Stock,-40.330666,-22.779175,信诚300,中信保诚基金管理有限公司,HAN.YILING,,,,
165516,Hybrid,-32.532635,-6.779884,信诚周期,中信保诚基金管理有限公司,张光成,,,,
165519,Stock,-5.1165676,33.268017,信诚医药,中信保诚基金管理有限公司,杨旭,,,,
165520,Stock,-2.944097,21.47452,信诚有色,中信保诚基金管理有限公司,杨旭,,,,
165707,Stock,-6.329575,-16.940195,诺德300,诺德基金管理有限公司,杨霞辉,,,,
166001,Hybrid,11.58293,0.48148543,中欧新趋势A,中欧基金管理有限公司,周蔚文,,,,
166002,Hybrid,-2.9748585,-26.493885,中欧蓝筹A,中欧基金管理有限公司,金媛媛,周蔚文,,,
166005,Hybrid,-3.5006344,-43.677017,中欧价值A,中欧基金管理有限公司,曹名长,蓝小康,,,
166006,Hybrid,-16.399096,-2.2255938,中欧成长A,中欧基金管理有限公司,李欣,王培,,,
166008,Bond,24.097042,26.907057,中欧强债A,中欧基金管理有限公司,赵国英,,,,
166009,Hybrid,-40.924934,3.6418333,中欧新动力A,中欧基金管理有限公司,王健,许文星,,,
166019,Hybrid,26.216213,-34.0795,中欧智选A,中欧基金管理有限公司,刘晨,,,,
166020,Hybrid,26.066406,-33.500668,中欧优选A,中欧基金管理有限公司,曹名长,袁维德,,,
166801,Hybrid,-1.3628396,-24.579111,浙商新思维,浙商基金管理有限公司,倪权生,,,,
166902,Bond,25.871479,3.7056727,民生增利A,民生加银基金管理有限公司,胡振仓,,,,
166903,Bond,25.899696,2.9892557,民生增利C,民生加银基金管理有限公司,胡振仓,,,,
166904,Bond,25.208216,3.3300524,民生添利A,民生加银基金管理有限公司,陆欣,,,,
166905,Bond,24.498384,5.079655,民生添利C,民生加银基金管理有限公司,陆欣,,,,
180001,Hybrid,14.12439,-10.175144,银华优势,银华基金管理股份有限公司,王鑫钢,,,,
180002,Bond,26.481752,-33.644245,银华保本,银华基金管理股份有限公司,贾鹏,孙慧,,,
